33
give.way.to.sb 屈服；让步...（词组）
voyage 航海；海上旅行
come.up 走近；上来；提出（come）
come.across 邂逅（come）
come.about 发生（come） 
come.at 向...扑来；攻击（come）
come.out 出版；开花；结果是（come）
come.round 绕道而来
come.down 落下；塌下（come）
come.to 达到（come）
base.sth.on/upon.sth 以...为基础（两种介词)
currently 目前；现在
especially 尤其，特别=particularly
specially 专门（做）...的
be.bound.to.do 注定做...
be.bound.to.someplace 要去...
serve.as 充当
sign.up.for 报名
broaden.one's.horizens 开阔某人的眼界
exercise.out.willpower 增强我们的意志力
raise...awareness 提高...意识
dream.away 虚度
give.out 分配；筋疲力尽的（give）
give.away 泄露；捐赠（give）
ahead.of.schedule/time 提前
it's.my,treat 我买单
out.of.question&&out.of.the.question 毫无疑问（对比）不可能
out.of.date 过时
vote.for 投票赞成
vote.against 投票反对
defence 防守
be.equal.to.sth 等于；胜任
be.equal.in.sth 在某方面相等
